mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_random_state,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.3859604835510254,0.011766347354566421,0.02093615531921387,0.000944129837852155,0.8,0.01,5,100,42,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.8491864831038799,0.8435544430538173,0.8435544430538173,0.8479349186483104,0.8366708385481852,0.844180225281602,0.004389406236983777,47
0.2938381671905518,0.002801986744612212,0.019960546493530275,0.0018043575629531625,0.8,0.01,5,100,42,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'random_state': 42, 'subsample': 1.0}",0.8460575719649562,0.844180225281602,0.8410513141426783,0.8454317897371715,0.8366708385481852,0.8426783479349187,0.003463918023303647,48
0.7704609870910645,0.024266253858351336,0.028890132904052734,0.005521952991855255,0.8,0.01,5,200,42,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'random_state': 42, 'subsample': 0.8}",0.8623279098873592,0.8579474342928661,0.8585732165206508,0.8541927409261577,0.8529411764705882,0.8571964956195244,0.0033442776510356426,16
0.5916443824768066,0.016194871151616642,0.028628444671630858,0.0014944466234030201,0.8,0.01,5,200,42,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'random_state': 42, 'subsample': 1.0}",0.8623279098873592,0.8566958698372966,0.8573216520650814,0.8554443053817271,0.8504380475594493,0.8564455569461827,0.003808541690789227,17
0.9726212024688721,0.02618912789103422,0.030987310409545898,0.001623211275775745,0.8,0.01,10,100,42,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.8541927409261577,0.8466833541927409,0.8473091364205256,0.8448060075093867,0.8347934918648311,0.8455569461827285,0.006250308380066952,45
0.9482867240905761,0.015317545339937668,0.03292384147644043,0.002455393551195632,0.8,0.01,10,100,42,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'random_state': 42, 'subsample': 1.0}",0.8548185231539425,0.8485607008760951,0.8454317897371715,0.8479349186483104,0.8360450563204005,0.8465581977471841,0.0060980864656219585,41
2.032442331314087,0.09546221360280495,0.05334286689758301,0.0009095188055670599,0.8,0.01,10,200,42,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200, 'random_state': 42, 'subsample': 0.8}",0.8642052565707133,0.8629536921151439,0.8591989987484355,0.8554443053817271,0.8541927409261577,0.8591989987484355,0.003957794318108105,10
1.9364120483398437,0.08886586950239889,0.05935382843017578,0.0037750959636529057,0.8,0.01,10,200,42,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200, 'random_state': 42, 'subsample': 1.0}",0.8679599499374218,0.8623279098873592,0.8579474342928661,0.8566958698372966,0.8529411764705882,0.8595744680851063,0.005154257892859573,8
0.36311116218566897,0.012298292427128632,0.02092266082763672,0.0012839661884508405,0.8,0.1,5,100,42,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.867334167709637,0.8629536921151439,0.8573216520650814,0.8623279098873592,0.8566958698372966,0.8613266583229036,0.00392999210716083,6
0.2596841812133789,0.00664935690525113,0.018363380432128908,0.0009465935893632729,0.8,0.1,5,100,42,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 42, 'subsample': 1.0}",0.8679599499374218,0.8623279098873592,0.8573216520650814,0.8635794743429287,0.8623279098873592,0.86270337922403,0.0033954092531290354,1
0.6758902549743653,0.013477284886470294,0.02573680877685547,0.0027630790350607454,0.8,0.1,5,200,42,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'random_state': 42, 'subsample': 0.8}",0.8679599499374218,0.8610763454317898,0.8498122653316645,0.8566958698372966,0.8548185231539425,0.8580725907384231,0.006123719560813557,11
0.46511549949645997,0.011055372558779034,0.02504267692565918,0.000995546433743976,0.8,0.1,5,200,42,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'random_state': 42, 'subsample': 1.0}",0.8654568210262829,0.8591989987484355,0.8566958698372966,0.8610763454317898,0.8579474342928661,0.8600750938673342,0.0030554582267168194,7
0.7787190437316894,0.01611011160279587,0.030295419692993163,0.0018194026198381568,0.8,0.1,10,100,42,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.8591989987484355,0.8523153942428036,0.8529411764705882,0.8498122653316645,0.8529411764705882,0.853441802252816,0.0031012544914552874,26
0.7012491703033448,0.00764218752760268,0.030094385147094727,0.0019926269007559017,0.8,0.1,10,100,42,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100, 'random_state': 42, 'subsample': 1.0}",0.8610763454317898,0.8585732165206508,0.8504380475594493,0.8498122653316645,0.8523153942428036,0.8544430538172716,0.004540264617576248,23
